,Title,Reference,Popularity,Rating,Region,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
Babi's Bean Salad,Babi's Bean Salad,50220/babis-bean-salad/,6,4.42857122421265,lebanese,273,9.8g,1.0g,0mg,231mg,750mg,38.2g,7.6g,11.2g,11g,5414IU,51mg,103mg,4mg,0mg,4mg,0mg,93mg,304mcg
Lebanese Chicken and Potatoes,Lebanese Chicken and Potatoes,89833/lebanese-chicken-and-potatoes/,281,4.14338254928589,lebanese,592,30.5g,6.0g,65mg,81mg,1436mg,53.9g,6.5g,26.7g,3g,86IU,75mg,51mg,3mg,0mg,11mg,1mg,86mg,55mcg
Fattoush,Fattoush,86283/fattoush/,20,4.3600001335144,lebanese,482,36.5g,5.0g,0mg,394mg,516mg,35.4g,3.8g,6.2g,5g,2781IU,55mg,87mg,2mg,0mg,4mg,0mg,41mg,119mcg
Middle Eastern Kibbeh,Middle Eastern Kibbeh,143265/middle-eastern-kibbeh/,63,4.59090900421143,lebanese,159,9.6g,3.0g,38mg,228mg,193mg,7.4g,1.7g,10.9g,1g,31IU,2mg,22mg,1mg,0mg,3mg,0mg,24mg,14mcg
Lebanese Donair,Lebanese Donair,88233/lebanese-donair/,40,4.34999990463257,lebanese,990,64.7g,14.0g,128mg,471mg,1404mg,47.6g,6.8g,57.5g,6g,1837IU,45mg,236mg,10mg,1mg,25mg,1mg,118mg,145mcg
Mellas Family Lamb Stuffed Zucchini (Koosa),Mellas Family Lamb Stuffed Zucchini (Koosa),207936/mellas-family-lamb-stuffed-zucchini-koosa/,14,4.25,lebanese,511,26.6g,8.0g,76mg,1593mg,1185mg,44.8g,5g,26.2g,9g,762IU,49mg,129mg,5mg,0mg,12mg,1mg,79mg,86mcg
Mediterranean Meat Pies (Sfeeha),Mediterranean Meat Pies (Sfeeha),216879/mediterranean-meat-pies-sfeeha/,42,4.56666660308838,lebanese,412,28.7g,8.0g,34mg,162mg,174mg,26.4g,1.2g,12.7g,1g,15IU,3mg,14mg,3mg,0mg,6mg,0mg,29mg,52mcg
Lamb Shawarma,Lamb Shawarma,214029/lamb-shawarma/,83,4.625,lebanese,376,26.8g,11.0g,115mg,966mg,380mg,3g,0.4g,29g,2g,106IU,3mg,60mg,3mg,0mg,8mg,0mg,34mg,31mcg
Kafta (BBQ),Kafta (BBQ),64519/kafta/,174,4.41780805587769,lebanese,227,13.9g,5.0g,74mg,459mg,327mg,2.3g,0.5g,22g,1g,453IU,8mg,21mg,2mg,0mg,8mg,0mg,23mg,18mcg
Tabbouleh III,Tabbouleh III,14438/tabbouleh-iii/,226,4.42009115219116,lebanese,244,18.5g,3.0g,0mg,593mg,338mg,19g,4.6g,3.3g,2g,1127IU,26mg,38mg,1mg,0mg,2mg,0mg,46mg,37mcg
Lentil and Green Collard Soup,Lentil and Green Collard Soup,137450/lentil-and-green-collard-soup/,175,4.44767427444458,lebanese,307,11.8g,1.0g,0mg,1779mg,660mg,38.6g,10.5g,15.2g,3g,4694IU,38mg,170mg,4mg,0mg,1mg,0mg,22mg,126mcg
Thick-Style Lebanese Garlic Sauce,Thick-Style Lebanese Garlic Sauce,150654/thick-style-lebanese-garlic-sauce/,161,4.13207530975342,lebanese,123,13.6g,2.0g,0mg,165mg,13mg,0.9g,0.1g,0.1g,0g,1IU,2mg,4mg,2mg,0mg,0mg,0mg,3mg,1mcg
Lebanese Lemon Salad Dressing,Lebanese Lemon Salad Dressing,164512/lebanese-lemon-salad-dressing/,145,4.47474765777588,lebanese,176,18.7g,3.0g,0mg,321mg,33mg,2.4g,0.2g,0.2g,1g,5IU,10mg,5mg,0mg,0mg,0mg,0mg,2mg,3mcg
Cilantro and Garlic Potatoes,Cilantro and Garlic Potatoes,83246/cilantro-and-garlic-potatoes/,66,4.15942049026489,lebanese,250,11.8g,2.0g,0mg,17mg,847mg,33.4g,4.4g,4.1g,2g,782IU,41mg,34mg,2mg,0mg,3mg,1mg,46mg,37mcg
Chicken Shawarma,Chicken Shawarma,52407/chicken-shawarma/,69,3.85294127464294,lebanese,402,15.2g,3.0g,58mg,420mg,554mg,44g,4g,23.3g,5g,755IU,14mg,168mg,4mg,1mg,13mg,0mg,60mg,108mcg
Best Hummus,Best Hummus,231081/best-hummus/,104,4.436363697052,lebanese,27,1.7g,0.0g,0mg,28mg,29mg,2.5g,0.6g,0.7g,0g,94IU,2mg,11mg,0mg,0mg,0mg,0mg,5mg,9mcg
Lebanese Lemon Lentil Soup,Lebanese Lemon Lentil Soup,223354/lebanese-lemon-lentil-soup/,88,4.33962249755859,lebanese,268,8.2g,3.0g,12mg,755mg,509mg,37.8g,13.9g,12g,2g,2408IU,15mg,62mg,4mg,0mg,4mg,0mg,60mg,218mcg
Traditional Hummus,Traditional Hummus,223276/traditional-hummus/,73,4.48888874053955,lebanese,560,50.5g,7.0g,0mg,244mg,248mg,22.5g,5.9g,8.6g,0g,37IU,3mg,152mg,4mg,0mg,4mg,0mg,49mg,76mcg
Lebanese Garlic Sauce,Lebanese Garlic Sauce,64229/lebanese-garlic-sauce/,45,3.92105269432068,lebanese,191,20.3g,3.0g,0mg,74mg,38mg,3g,0.2g,0.5g,0g,2IU,6mg,13mg,0mg,0mg,0mg,0mg,2mg,1mcg
"Chard Lentil Soup, Lebanese-Style","Chard Lentil Soup, Lebanese-Style",234775/chard-lentil-soup-lebanese-style/,40,4.59459447860718,lebanese,361,14g,2.0g,0mg,931mg,1124mg,50.7g,11.8g,10.5g,3g,1120IU,58mg,59mg,4mg,0mg,5mg,1mg,91mg,151mcg
